FantaCode,Flavour,Country,RegionalCode,Type
M6CA20AN,Cassis,Nederlands,23-0547-NL,Regular
5G61AB17A,Crimson Cherry,Nederlands,25-5659-NL,Regular
5G61BB15A,Strawberry-Kiwi Taste,Nederlands,25-5804-NL,Regular
K5CM14CN,Orange,Nederlands,25-5196-NL,Regular
11E52G15A,Shokata,Czechia,,Regular
11E52K29A,Apple-lychee,Czechia,7839194,Zero Sugar
M6CA26BN,Exotic Taste,Nederlands,23-0537-NL,Zero Sugar
K6CA04AN,Lemon,Nederlands,23-0543-NL,Zero Sugar
5G61AB06C,Orange,Nederlands,24-5829-NL,Zero Sugar
M6DA14BN,Pineapple-Grapefruit,Nederlands,25-5138-NL,Zero Sugar
7L53J29A,Rasberry,Spain,,Zero Sugar
